,phrase,label,sentiment,subjectivity,language,count
25 years,25 years,DATE,,,en,1.0
Before Every Game,Before Every Game,WORK_OF_ART,,,en,1.0
Polish,Polish,NORP,,,en,1.0
between 10 and 15,between 10 and 15,CARDINAL,,,en,1.0
Highmark Stadium,Highmark Stadium,FAC,,,en,1.0
June 4,June 4,DATE,,,en,1.0
roughly half a million kilograms,roughly half a million kilograms,CARDINAL,,,en,1.0
hundreds of tons,hundreds of tons,QUANTITY,,,en,1.0
June 1,June 1,DATE,,,en,1.0
this spring,this spring,DATE,,,en,1.0
the end of May,the end of May,DATE,,,en,1.0
Inuit,Inuit,NORP,,,en,1.0
"June 01, 2026 (GLOBE NEWSWIRE) --","June 01, 2026 (GLOBE NEWSWIRE) --",DATE,,,en,1.0
recap,recap,WORK_OF_ART,,,en,1.0
more than 3%,more than 3%,PERCENT,,,en,1.0
the start of summer,the start of summer,DATE,,,en,1.0
The Outlawed Ocean,The Outlawed Ocean,WORK_OF_ART,,,en,1.0
the 90 minutes,the 90 minutes,TIME,,,en,1.0
Norwegian,Norwegian,NORP,,,en,1.0
"4,000","4,000",CARDINAL,,,en,1.0
the morning hours,the morning hours,TIME,,,en,1.0
Iran War Oil Shock to Push,Iran War Oil Shock to Push,EVENT,,,en,1.0
50 or 100,50 or 100,CARDINAL,,,en,1.0
one year ago,one year ago,DATE,,,en,1.0
One Year After The Collapse Of USAID,One Year After The Collapse Of USAID,DATE,,,en,1.0
"May 30, 2026 /PRNewswire/","May 30, 2026 /PRNewswire/",DATE,,,en,1.0
about 1.1 million pounds,about 1.1 million pounds,QUANTITY,,,en,1.0
The Outlaw Ocean:,The Outlaw Ocean:,WORK_OF_ART,,,en,1.0
the late twenty-first century,the late twenty-first century,DATE,,,en,1.0
July,July,DATE,,,en,1.0
nearly half,nearly half,CARDINAL,,,en,1.0
At least 248,At least 248,CARDINAL,,,en,1.0
about two,about two,CARDINAL,,,en,1.0
six weeks,six weeks,DATE,,,en,1.0
Jun 5,Jun 5,DATE,,,en,1.0
next Thursday,next Thursday,DATE,,,en,1.0
World Cup's,World Cup's,EVENT,,,en,1.0
Mendocino Triple Junction,Mendocino Triple Junction,FAC,,,en,1.0
this July,this July,DATE,,,en,1.0
Calgarians,Calgarians,NORP,,,en,1.0
"3,500","3,500",CARDINAL,,,en,1.0
"June 3, 2026","June 3, 2026",DATE,,,en,1.0
ONE,ONE,CARDINAL,,,en,1.0
Golden JubileeExtended Duration,Golden JubileeExtended Duration,EVENT,,,en,1.0
Sun Life Hong Kong International Dragon Boat Festival”,Sun Life Hong Kong International Dragon Boat Festival”,WORK_OF_ART,,,en,1.0
Opening Highlight Event,Opening Highlight Event,EVENT,,,en,1.0
more than $10 billion,more than $10 billion,MONEY,,,en,1.0
"Tuesday, June 2","Tuesday, June 2",DATE,,,en,1.0
8 PM ET,8 PM ET,TIME,,,en,1.0
hourly,hourly,TIME,,,en,1.0
roughly $1 billion,roughly $1 billion,MONEY,,,en,1.0
Nearly $1 Billion,Nearly $1 Billion,MONEY,,,en,1.0
roughly 9.2 million square kilometres,roughly 9.2 million square kilometres,QUANTITY,,,en,1.0
USD 65.29 Billion,USD 65.29 Billion,MONEY,,,en,1.0
2.2MM,2.2MM,MONEY,,,en,1.0
Hudbay,Hudbay,WORK_OF_ART,,,en,1.0
May 28,May 28,DATE,,,en,1.0
130,130,CARDINAL,,,en,1.0
Yukon,Yukon,FAC,0.09999999999999999,0.5333333333333333,en,1.0
41,41,MONEY,,,en,1.0
approximately USD 39.62 Billion,approximately USD 39.62 Billion,MONEY,,,en,1.0
5.21%,5.21%,PERCENT,,,en,1.0
2034,2034,DATE,,,en,1.0
age 55,age 55,DATE,,,en,1.0
nearly 14 million years,nearly 14 million years,DATE,,,en,1.0
millions of years,millions of years,DATE,,,en,1.0
22 2026,22 2026,DATE,,,en,1.0
Wettest May,Wettest May,DATE,,,en,1.0
the Planet-Wide Impact of Ocean Currents,the Planet-Wide Impact of Ocean Currents,PRODUCT,,,en,1.0
Andean,Andean,NORP,,,en,1.0
Wait Your Turn’ Political Era Is Dead,Wait Your Turn’ Political Era Is Dead,WORK_OF_ART,,,en,1.0
August,August,DATE,,,en,1.0
"the months of June, July","the months of June, July",DATE,,,en,1.0
Jew,Jew,NORP,,,en,1.0
"May 28, 2026 /PRNewswire/","May 28, 2026 /PRNewswire/",DATE,,,en,1.0
magnitude-7.0,magnitude-7.0,PRODUCT,,,en,1.0
Black Blizzard” Heading,Black Blizzard” Heading,WORK_OF_ART,,,en,1.0
2 Weeks,2 Weeks,DATE,,,en,1.0
D-Day,D-Day,DATE,,,en,1.0
Pressure,Pressure,PRODUCT,,,en,1.0
New WWII Movie Gives A Radically Different Look At D-Day & A,New WWII Movie Gives A Radically Different Look At D-Day & A,EVENT,,,en,1.0
250th,250th,ORDINAL,,,en,1.0
more than two centuries,more than two centuries,DATE,,,en,1.0
weeks early,weeks early,DATE,,,en,1.0
trans-Pacific,trans-Pacific,NORP,,,en,1.0
"May 29, 2026 (GLOBE NEWSWIRE","May 29, 2026 (GLOBE NEWSWIRE",DATE,,,en,1.0
9-10 June,9-10 June,DATE,,,en,1.0
Day One,Day One,DATE,,,en,1.0
Antiquities & Ancient Art Auction,Antiquities & Ancient Art Auction,EVENT,,,en,1.0
Corsican,Corsican,NORP,,,en,1.0
Egyptian,Egyptian,NORP,,,en,1.0
Babylonian,Babylonian,NORP,,,en,1.0
The Long Road,The Long Road,FAC,,,en,1.0
PublicDomainPicturesFor,PublicDomainPicturesFor,NORP,,,en,1.0
50 kmph,50 kmph,QUANTITY,,,en,1.0
a second consecutive day,a second consecutive day,DATE,,,en,1.0
the next few weeks,the next few weeks,DATE,,,en,1.0
7.0,7.0,CARDINAL,,,en,1.0
Indonesian,Indonesian,NORP,,,en,1.0
approximately 10 kilometers,approximately 10 kilometers,QUANTITY,,,en,1.0
Aussies,Aussies,NORP,,,en,1.0
EpiCooler Portable AC Product Details,EpiCooler Portable AC Product Details,PRODUCT,,,en,1.0
June 13,June 13,DATE,,,en,1.0
Death Ruled a Homicide,Death Ruled a Homicide,WORK_OF_ART,,,en,1.0
6 months later,6 months later,DATE,,,en,1.0
these days,these days,DATE,,,en,1.0
New Movie,New Movie,WORK_OF_ART,,,en,1.0
' weekend,' weekend,DATE,,,en,1.0
the few months,the few months,DATE,,,en,1.0
best month,best month,DATE,,,en,1.0
Are You Smarter Than a 5th Grader,Are You Smarter Than a 5th Grader,WORK_OF_ART,,,en,1.0
45º C.,45º C.,DATE,,,en,1.0
only $1.75,only $1.75,MONEY,,,en,1.0
Mozilla,Mozilla,PRODUCT,,,en,1.0
Firefox,Firefox,PRODUCT,,,en,1.0
Proton VPN Firefox,Proton VPN Firefox,PRODUCT,,,en,1.0
last summer,last summer,DATE,,,en,1.0
"150,000","150,000",CARDINAL,,,en,1.0
Forty-eight,Forty-eight,CARDINAL,,,en,1.0
TODAY,TODAY,DATE,,,en,1.0
The World Cup,The World Cup,EVENT,,,en,1.0
Port Pirie,Port Pirie,FAC,,,en,1.0
1.9 million square mile,1.9 million square mile,QUANTITY,,,en,1.0
roughly half,roughly half,CARDINAL,,,en,1.0
94 percent,94 percent,PERCENT,,,en,1.0
$42.7 Billion,$42.7 Billion,MONEY,,,en,1.0
the day before her 14th,the day before her 14th,DATE,,,en,1.0
96,96,CARDINAL,,,en,1.0
"1,280","1,280",CARDINAL,,,en,1.0
402,402,CARDINAL,,,en,1.0
2011-2023,2011-2023,DATE,,,en,1.0
"June 16, 2026 (GLOBE NEWSWIRE)","June 16, 2026 (GLOBE NEWSWIRE)",DATE,,,en,1.0
1b,1b,MONEY,,,en,1.0
Tropical Cyclone Fina,Tropical Cyclone Fina,NORP,,,en,1.0
24B,24B,MONEY,,,en,1.0
10%,10%,PERCENT,,,en,1.0
$2 trillion,$2 trillion,MONEY,,,en,1.0
Russians,Russians,NORP,,,en,1.0
Ukrainian,Ukrainian,NORP,,,en,1.0
1828,1828,DATE,,,en,1.0
"2,160","2,160",CARDINAL,,,en,1.0
the next two months,the next two months,DATE,,,en,1.0
"approximately 1,500 kilometres","approximately 1,500 kilometres",QUANTITY,,,en,1.0
August 2017,August 2017,DATE,,,en,1.0
24 2026,24 2026,DATE,,,en,1.0
World Cup 2026,World Cup 2026,EVENT,,,en,1.0
Antipodean,Antipodean,NORP,,,en,1.0
at least 35,at least 35,CARDINAL,,,en,1.0
half-century,half-century,DATE,,,en,1.0
a day,a day,DATE,,,en,1.0
about 9 miles,about 9 miles,QUANTITY,,,en,1.0
roughly 30 miles,roughly 30 miles,QUANTITY,,,en,1.0
"June 9, 2026","June 9, 2026",DATE,,,en,1.0
11 metres,11 metres,QUANTITY,,,en,1.0
Wellington Harbour,Wellington Harbour,FAC,,,en,1.0
the coming week,the coming week,DATE,,,en,1.0
Everything Is Fine,Everything Is Fine,WORK_OF_ART,,,en,1.0
202,202,CARDINAL,,,en,1.0
60 years,60 years,DATE,,,en,1.0
the Security Scanner Became the Weapon,the Security Scanner Became the Weapon,PRODUCT,,,en,1.0
Jun 8th,Jun 8th,DATE,,,en,1.0
2026-06-07,2026-06-07,DATE,,,en,1.0
over 200,over 200,CARDINAL,,,en,1.0
lifeIs,lifeIs,CARDINAL,,,en,1.0
up to three metres,up to three metres,QUANTITY,,,en,1.0
more than two minutes,more than two minutes,TIME,,,en,1.0
A long day,A long day,DATE,,,en,1.0
EMX,EMX,PRODUCT,,,en,1.0
"more than 20,000","more than 20,000",CARDINAL,,,en,1.0
"about 720,000","about 720,000",CARDINAL,,,en,1.0
Thanksgiving Day,Thanksgiving Day,DATE,,,en,1.0
"1776




","1776




",DATE,,,en,1.0
Two dozen,Two dozen,CARDINAL,,,en,1.0
3rd year in a row,3rd year in a row,DATE,,,en,1.0
about 8.7 inches,about 8.7 inches,QUANTITY,,,en,1.0
FIFA World Cup 2026,FIFA World Cup 2026,EVENT,,,en,1.0
more than a century,more than a century,DATE,,,en,1.0
$21 Flashlight,$21 Flashlight,MONEY,,,en,1.0
Azteca Stadium,Azteca Stadium,FAC,,,en,1.0
Just 48 hours,Just 48 hours,TIME,,,en,1.0
48 hours,48 hours,TIME,,,en,1.0
roughly 3‑foot waves,roughly 3‑foot waves,QUANTITY,,,en,1.0
Orion,Orion,FAC,,,en,1.0
Artemis,Artemis,PRODUCT,,,en,1.0
"May 25, 2026","May 25, 2026",DATE,,,en,1.0
996,996,CARDINAL,,,en,1.0
a century,a century,DATE,,,en,1.0
"over 32,000","over 32,000",CARDINAL,,,en,1.0
At least 37,At least 37,CARDINAL,,,en,1.0
Asia In Brief,Asia In Brief,EVENT,,,en,1.0
The Revolution Heard Around the World,The Revolution Heard Around the World,EVENT,,,en,1.0
nearly 100 meters,nearly 100 meters,QUANTITY,,,en,1.0
around 40%,around 40%,PERCENT,,,en,1.0
Porsche Cayenne Turbo S.,Porsche Cayenne Turbo S.,PRODUCT,,,en,1.0
C5,C5,PRODUCT,,,en,1.0
Fourth of July,Fourth of July,DATE,,,en,1.0
2002,2002,DATE,,,en,1.0
1995,1995,DATE,,,en,1.0
1.42 billion,1.42 billion,CARDINAL,,,en,1.0
Global Top 50,Global Top 50,PRODUCT,,,en,1.0
the second full week of May,the second full week of May,DATE,,,en,1.0
Operation Economic Fury,Operation Economic Fury,WORK_OF_ART,,,en,1.0
Nixon Moment,Nixon Moment,WORK_OF_ART,,,en,1.0
Good News,Good News,WORK_OF_ART,,,en,1.0
This weekend,This weekend,DATE,,,en,1.0
Disneyland,Disneyland,FAC,,,en,1.0
"May 18, 2026 /PRNewswire/","May 18, 2026 /PRNewswire/",DATE,,,en,1.0
Contractor Fraud Awareness Week,Contractor Fraud Awareness Week,LAW,,,en,1.0
Thirty-five,Thirty-five,CARDINAL,,,en,1.0
West Asian,West Asian,NORP,,,en,1.0
33,33,CARDINAL,,,en,1.0
23°C to,23°C to,PERCENT,,,en,1.0
May 18,May 18,DATE,,,en,1.0
May 17-23,May 17-23,DATE,,,en,1.0
May 16,May 16,DATE,,,en,1.0
Independence Day 2026 weekend,Independence Day 2026 weekend,EVENT,,,en,1.0
19th-century,19th-century,DATE,,,en,1.0
32 per cent,32 per cent,MONEY,,,en,1.0
Six months,Six months,DATE,,,en,1.0
Dark Blue Pearl,Dark Blue Pearl,WORK_OF_ART,,,en,1.0
Iran War:,Iran War:,EVENT,,,en,1.0
next Tuesday,next Tuesday,DATE,,,en,1.0
at least five days in a row,at least five days in a row,DATE,,,en,1.0
at least 28C,at least 28C,CARDINAL,,,en,1.0
39°C,39°C,PERCENT,,,en,1.0
31C,31C,DATE,,,en,1.0
the UIA 2030 Award,the UIA 2030 Award,EVENT,,,en,1.0
"May 20, 2026","May 20, 2026",DATE,,,en,1.0
Mondial Quattrovalvole cabriolet,Mondial Quattrovalvole cabriolet,PRODUCT,,,en,1.0
over 257,over 257,CARDINAL,,,en,1.0
This 1985,This 1985,DATE,,,en,1.0
Mondial Quattrovalvole Cabriolet,Mondial Quattrovalvole Cabriolet,PRODUCT,,,en,1.0
1985,1985,DATE,,,en,1.0
May 19,May 19,DATE,,,en,1.0
a quarter,a quarter,DATE,,,en,1.0
2017-2020,2017-2020,DATE,,,en,1.0
any given day,any given day,DATE,,,en,1.0
1542 hrs,1542 hrs,TIME,,,en,1.0
257.37,257.37,CARDINAL,,,en,1.0
Christmas Eve downpour,Christmas Eve downpour,DATE,,,en,1.0
95.68,95.68,MONEY,,,en,1.0
one-day,one-day,DATE,,,en,1.0
a strong first quarter,a strong first quarter,DATE,,,en,1.0
111,111,CARDINAL,,,en,1.0
May 11,May 11,DATE,,,en,1.0
"4,900 kilometers","4,900 kilometers",QUANTITY,,,en,1.0
Bullitt,Bullitt,PRODUCT,,,en,1.0
"5,582","5,582",CARDINAL,,,en,1.0
Mustang GT,Mustang GT,PRODUCT,,,en,1.0
2001,2001,DATE,,,en,1.0
Mustang Bullitt GT Coupe,Mustang Bullitt GT Coupe,PRODUCT,,,en,1.0
Arabs,Arabs,NORP,,,en,1.0
an entire night,an entire night,TIME,,,en,1.0
the third of,the third of,DATE,,,en,1.0
Summer 2000: The X-Cetra Story,Summer 2000: The X-Cetra Story,WORK_OF_ART,,,en,1.0
Take Me Home,Take Me Home,WORK_OF_ART,,,en,1.0
Maddie,Maddie,WORK_OF_ART,,,en,1.0
Bentonville Film Festival Lineup Is a Family Affair,Bentonville Film Festival Lineup Is a Family Affair,EVENT,,,en,1.0
Inseeing,Inseeing,WORK_OF_ART,,,en,1.0
Hurricane Season Nears,Hurricane Season Nears,EVENT,,,en,1.0
This Is Their Happily Ever After,This Is Their Happily Ever After,WORK_OF_ART,,,en,1.0
Aki Overland,Aki Overland,WORK_OF_ART,,,en,1.0
Porsche Cayenne Turbo S,Porsche Cayenne Turbo S,PRODUCT,,,en,1.0
at least 111,at least 111,CARDINAL,,,en,1.0
"New Original Series ""Chocolate Wars","New Original Series ""Chocolate Wars",EVENT,,,en,1.0
Book and the True Story of the Cadbury Family,Book and the True Story of the Cadbury Family,WORK_OF_ART,,,en,1.0
Olympian,Olympian,NORP,,,en,1.0
Germline,Germline,NORP,,,en,1.0
I Was Born To Make This Film,I Was Born To Make This Film,WORK_OF_ART,,,en,1.0
36 Inches,36 Inches,QUANTITY,,,en,1.0
"the ""Stop Asian Hate","the ""Stop Asian Hate",EVENT,,,en,1.0
Dem,Dem,NORP,,,en,1.0
"May 15, 2026 /PRNewswire/","May 15, 2026 /PRNewswire/",DATE,,,en,1.0
about 64 kilometers,about 64 kilometers,QUANTITY,,,en,1.0
May 15,May 15,DATE,,,en,1.0
the past several weeks,the past several weeks,DATE,,,en,1.0
over a dozen,over a dozen,CARDINAL,,,en,1.0
2 a.m.,2 a.m.,TIME,,,en,1.0
Fox One,Fox One,PRODUCT,,,en,1.0
11 p.m.,11 p.m.,TIME,,,en,1.0
Round 10,Round 10,FAC,,,en,1.0
the PGA Championship,the PGA Championship,EVENT,,,en,1.0
"May 15, 2026:","May 15, 2026:",DATE,,,en,1.0
Lake Effect,Lake Effect,WORK_OF_ART,,,en,1.0
the IIHF World Championship 2026,the IIHF World Championship 2026,EVENT,,,en,1.0
IIHF World Championship 2026: FREE Live Streams & TV Channels,IIHF World Championship 2026: FREE Live Streams & TV Channels,EVENT,,,en,1.0
early December,early December,DATE,,,en,1.0
"4,800 miles","4,800 miles",QUANTITY,,,en,1.0
Filipino Communist,Filipino Communist,NORP,,,en,1.0
August 2026,August 2026,DATE,,,en,1.0
7.39 seconds,7.39 seconds,TIME,,,en,1.0
22 October 2017,22 October 2017,DATE,,,en,1.0
2497,2497,CARDINAL,,,en,1.0
thousandth,thousandth,ORDINAL,,,en,1.0
the same month,the same month,DATE,,,en,1.0
120kmh,120kmh,QUANTITY,,,en,1.0
2500th,2500th,CARDINAL,,,en,1.0
about 2000,about 2000,CARDINAL,,,en,1.0
"almost 60,000","almost 60,000",CARDINAL,,,en,1.0
three years,three years,DATE,,,en,1.0
£8M,£8M,MONEY,,,en,1.0
Monday ResearchBuzz,Monday ResearchBuzz,DATE,,,en,1.0
Romance Created A Viral Trend In North Korea,Romance Created A Viral Trend In North Korea,WORK_OF_ART,,,en,1.0
four decades,four decades,DATE,,,en,1.0
March 1956,March 1956,DATE,,,en,1.0
"December 15, 2025","December 15, 2025",DATE,,,en,1.0
felt over 150 miles,felt over 150 miles,QUANTITY,,,en,1.0
May 22,May 22,DATE,,,en,1.0
week-long,week-long,DATE,,,en,1.0
30C today,30C today,TIME,,,en,1.0
829 kilometres,829 kilometres,QUANTITY,,,en,1.0
the afternoon,the afternoon,TIME,,,en,1.0
October 2017,October 2017,DATE,,,en,1.0
early Thursday,early Thursday,DATE,,,en,1.0
"May 26, 2026","May 26, 2026",DATE,,,en,1.0
Toronto Waterfront Festival Announces Pause,Toronto Waterfront Festival Announces Pause,EVENT,,,en,1.0
Six,Six,CARDINAL,,,en,1.0
approximately four hundred years,approximately four hundred years,DATE,,,en,1.0
the very end of 2028,the very end of 2028,DATE,,,en,1.0
Blue Moon,Blue Moon,FAC,,,en,1.0
May 31,May 31,DATE,,,en,1.0
this Sunday,this Sunday,DATE,,,en,1.0
Ignition,Ignition,PRODUCT,,,en,1.0
"1,600","1,600",CARDINAL,,,en,1.0
Cajun,Cajun,NORP,,,en,1.0
From 17th century,From 17th century,DATE,,,en,1.0
Rougarou,Rougarou,PRODUCT,,,en,1.0
1042,1042,MONEY,,,en,1.0
$1.2 billion,$1.2 billion,MONEY,,,en,1.0
Offutt Air Force Base,Offutt Air Force Base,FAC,,,en,1.0
"3,000 feet","3,000 feet",QUANTITY,,,en,1.0
1.2 million square feet,1.2 million square feet,QUANTITY,,,en,1.0
137,137,CARDINAL,,,en,1.0
5/23/2026,5/23/2026,DATE,,,en,1.0
each year,each year,DATE,,,en,1.0
the 1880s,the 1880s,DATE,,,en,1.0
"120,000","120,000",CARDINAL,,,en,1.0
Fort St. John,Fort St. John,FAC,,,en,1.0
three seasons,three seasons,DATE,,,en,1.0
1984,1984,DATE,,,en,1.0
early-year hurricane season,early-year hurricane season,DATE,,,en,1.0
between June 1 and November 30,between June 1 and November 30,DATE,,,en,1.0
Getting Around,Getting Around,WORK_OF_ART,,,en,1.0
The Lay of the Land,The Lay of the Land,WORK_OF_ART,,,en,1.0
The Making of Boston,The Making of Boston,WORK_OF_ART,,,en,1.0
next Wednesday,next Wednesday,DATE,,,en,1.0
Dell XPS 14,Dell XPS 14,PRODUCT,,,en,1.0
2026 Summer Festival Guide,2026 Summer Festival Guide,DATE,,,en,1.0
A year,A year,DATE,,,en,1.0
Extremist,Extremist,NORP,,,en,1.0
up to 100,up to 100,CARDINAL,,,en,1.0
100x,100x,CARDINAL,,,en,1.0
New Year,New Year,EVENT,,,en,1.0
140,140,CARDINAL,,,en,1.0
more than three decades,more than three decades,DATE,,,en,1.0
the White House,the White House,FAC,,,en,1.0
Crown Heights,Crown Heights,FAC,,,en,1.0
Generating Station,Generating Station,FAC,,,en,1.0
$16-billion dam,$16-billion dam,MONEY,,,en,1.0
57k,57k,CARDINAL,,,en,1.0
Crew Cab,Crew Cab,PRODUCT,,,en,1.0
Turn a World Cup Trip Into a Beach Vacation,Turn a World Cup Trip Into a Beach Vacation,EVENT,,,en,1.0
2026 Artist in Residence Bill Fontana,2026 Artist in Residence Bill Fontana,WORK_OF_ART,,,en,1.0
the world premiere,the world premiere,EVENT,,,en,1.0
World Premiere of SF’s,World Premiere of SF’s,EVENT,,,en,1.0
207k kilometers,207k kilometers,QUANTITY,,,en,1.0
560SL,560SL,PRODUCT,,,en,1.0
1792,1792,DATE,,,en,1.0
2PM,2PM,DATE,,,en,1.0
around $12M,around $12M,MONEY,,,en,1.0
Star Wars,Star Wars,WORK_OF_ART,,,en,1.0
Box Office,Box Office,FAC,,,en,1.0
Around $12M,Around $12M,MONEY,,,en,1.0
Star Wars: Mandalorian & Grogu,Star Wars: Mandalorian & Grogu,WORK_OF_ART,,,en,1.0
Derana 360's,Derana 360's,FAC,,,en,1.0
Asia-Pacific,Asia-Pacific,NORP,,,en,1.0
the Jackie Robinson Parkway,the Jackie Robinson Parkway,FAC,,,en,1.0
V8,V8,PRODUCT,,,en,1.0
Power Stroke turbodiesel,Power Stroke turbodiesel,PRODUCT,,,en,1.0
dually,dually,PRODUCT,,,en,1.0
Remembering Wildlife Competition,Remembering Wildlife Competition,EVENT,,,en,1.0
the 2026,the 2026,DATE,,,en,1.0
4000,4000,CARDINAL,,,en,1.0
100°,100°,QUANTITY,,,en,1.0
Adult Swim,Adult Swim,FAC,,,en,1.0
USD 5.02 Billion,USD 5.02 Billion,MONEY,,,en,1.0
March 18,March 18,DATE,,,en,1.0
"March 19, 2026","March 19, 2026",DATE,,,en,1.0
Dhurandhar: The Revenge,Dhurandhar: The Revenge,WORK_OF_ART,,,en,1.0
Epic Sequel Sparks Buzz,Epic Sequel Sparks Buzz,WORK_OF_ART,,,en,1.0
Dhurandhar: The Revenge' Hits Theaters March 19:,Dhurandhar: The Revenge' Hits Theaters March 19:,WORK_OF_ART,,,en,1.0
5.12%,5.12%,PERCENT,,,en,1.0
109°F,109°F,QUANTITY,,,en,1.0
early-season,early-season,DATE,,,en,1.0
Gurugram,Gurugram,PRODUCT,,,en,1.0
Treadmill,Treadmill,PRODUCT,,,en,1.0
The Dark Origins,The Dark Origins,WORK_OF_ART,,,en,1.0
last May,last May,DATE,,,en,1.0
Mar.,Mar.,DATE,,,en,1.0
30 degrees Celsius,30 degrees Celsius,QUANTITY,,,en,1.0
Winter Olympics,Winter Olympics,EVENT,,,en,1.0
the FIFA World Cup 2026 Official Album,the FIFA World Cup 2026 Official Album,EVENT,,,en,1.0
more than two decades ago,more than two decades ago,DATE,,,en,1.0
the 80s,the 80s,DATE,,,en,1.0
coldest Republic Day,coldest Republic Day,DATE,,,en,1.0
Skywatchers,Skywatchers,NORP,,,en,1.0
12:33 PM,12:33 PM,TIME,,,en,1.0
the spring,the spring,DATE,,,en,1.0
the Top End,the Top End,FAC,,,en,1.0
more than 200mm,more than 200mm,QUANTITY,,,en,1.0
Turkish,Turkish,NORP,,,en,1.0
nine straight years,nine straight years,DATE,,,en,1.0
$1B Abroad And $1.38B WW,$1B Abroad And $1.38B WW,MONEY,,,en,1.0
Housemaid,Housemaid,WORK_OF_ART,,,en,1.0
Asfura,Asfura,WORK_OF_ART,,,en,1.0
the Rio Grande,the Rio Grande,FAC,,,en,1.0
Shelby Park,Shelby Park,FAC,,,en,1.0
185 km/h,185 km/h,QUANTITY,,,en,1.0
early Friday,early Friday,TIME,,,en,1.0
Mercy,Mercy,WORK_OF_ART,,,en,1.0
Prior to the summer,Prior to the summer,DATE,,,en,1.0
$22M WW,$22M WW,MONEY,,,en,1.0
"April 14, 2024","April 14, 2024",DATE,,,en,1.0
5G.,5G.,CARDINAL,,,en,1.0
more than 100 millimetres,more than 100 millimetres,QUANTITY,,,en,1.0
another slow weekend,another slow weekend,DATE,,,en,1.0
$1 billion mark,$1 billion mark,MONEY,,,en,1.0
1.38B.,1.38B.,MONEY,,,en,1.0
"4,500 feet","4,500 feet",QUANTITY,,,en,1.0
the 90s,the 90s,DATE,,,en,1.0
4.99,4.99,MONEY,,,en,1.0
North Korean,North Korean,NORP,,,en,1.0
49C,49C,CARDINAL,,,en,1.0
38 Celsius-plus),38 Celsius-plus),QUANTITY,,,en,1.0
Seven,Seven,CARDINAL,,,en,1.0
the last fourteen hours,the last fourteen hours,TIME,,,en,1.0
Disney Travelers,Disney Travelers,WORK_OF_ART,,,en,1.0
21C.,21C.,CARDINAL,,,en,1.0
"more than 3,100","more than 3,100",CARDINAL,,,en,1.0
Matildas,Matildas,NORP,0.0,0.0,en,1.0
Asian Cup's,Asian Cup's,EVENT,,,en,1.0
Netflix,Netflix,PRODUCT,,,en,1.0
15-18 oz,15-18 oz,QUANTITY,,,en,1.0
season 1,season 1,DATE,,,en,1.0
New Shark Thriller,New Shark Thriller,WORK_OF_ART,,,en,1.0
Whitney Peak Must Survive Netflix's,Whitney Peak Must Survive Netflix's,WORK_OF_ART,,,en,1.0
Winter Storm to Cause Billions of Dollars in Insured Losses,Winter Storm to Cause Billions of Dollars in Insured Losses,WORK_OF_ART,,,en,1.0
March 16,March 16,DATE,,,en,1.0
Bluey's Big Play - The Stage Show,Bluey's Big Play - The Stage Show,WORK_OF_ART,,,en,1.0
Bluey,Bluey,WORK_OF_ART,,,en,1.0
at least 175,at least 175,CARDINAL,,,en,1.0
February 28,February 28,DATE,,,en,1.0
7.4 Million,7.4 Million,CARDINAL,,,en,1.0
hundreds of millimetres,hundreds of millimetres,QUANTITY,,,en,1.0
March one,March one,DATE,,,en,1.0
1991,1991,DATE,,,en,1.0
3 Day Sale - Saturday,3 Day Sale - Saturday,DATE,,,en,1.0
approximately USD 3.06 Billion,approximately USD 3.06 Billion,MONEY,,,en,1.0
the World Baseball Classic,the World Baseball Classic,EVENT,,,en,1.0
Olympic,Olympic,EVENT,,,en,1.0
thousands of kilometres,thousands of kilometres,QUANTITY,,,en,1.0
$2.3M,$2.3M,MONEY,,,en,1.0
another late night,another late night,TIME,,,en,1.0
Super Bowl to World Cup - California,Super Bowl to World Cup - California,EVENT,,,en,1.0
1990,1990,DATE,,,en,1.0
Cotter,Cotter,PRODUCT,,,en,1.0
over summer,over summer,DATE,,,en,1.0
less than three months,less than three months,DATE,,,en,1.0
Californian,Californian,NORP,,,en,1.0
three months,three months,DATE,,,en,1.0
season 15,season 15,DATE,,,en,1.0
4 Days,4 Days,DATE,,,en,1.0
Heroic,Heroic,WORK_OF_ART,,,en,1.0
the tens of millions of dollars,the tens of millions of dollars,MONEY,,,en,1.0
the first Gulf War,the first Gulf War,EVENT,,,en,1.0
684,684,MONEY,,,en,1.0
1898,1898,DATE,,,en,1.0
$2 Billion,$2 Billion,MONEY,,,en,1.0
Spring 2026,Spring 2026,DATE,,,en,1.0
one month,one month,DATE,,,en,1.0
Jamaicans,Jamaicans,NORP,,,en,1.0
The Kid Laroi,The Kid Laroi,FAC,,,en,1.0
the Final Four,the Final Four,EVENT,,,en,1.0
Elite 8,Elite 8,FAC,,,en,1.0
1926,1926,DATE,,,en,1.0
100 years,100 years,DATE,,,en,1.0
the final seconds,the final seconds,TIME,,,en,1.0
70%,70%,PERCENT,,,en,1.0
Best Winter Sneakers That Will Keep You Active,Best Winter Sneakers That Will Keep You Active,EVENT,,,en,1.0
1702-1713,1702-1713,DATE,,,en,1.0
the following year,the following year,DATE,,,en,1.0
2 months of that year,2 months of that year,DATE,,,en,1.0
"1,000","1,000",MONEY,,,en,1.0
Three decades,Three decades,DATE,,,en,1.0
Butterfly Gathering,Butterfly Gathering,WORK_OF_ART,,,en,1.0
